DBN,Number of Students English,Number of Students Math,Number of Students Science,Number of Students Social Studies,Number of Classes English,Number of Classes Math,Number of Classes Science,Number of Classes Social Studies,Average Class Size English,Average Class Size Math,Average Class Size Science,Average Class Size Social Studies,School Pupil-Teacher Ratio
13K351,151.0,152.0,150.0,157.0,7.0,7.0,7.0,7.0,21.571428571428573,21.714285714285715,21.428571428571427,22.428571428571427,9.299999999999999
13K492,196.0,188.0,188.0,188.0,7.0,6.0,6.0,6.0,28.0,31.333333333333332,31.333333333333332,31.333333333333332,15.8
13K527,277.0,169.0,169.0,169.0,11.0,7.0,7.0,7.0,25.181818181818183,24.142857142857142,24.142857142857142,24.142857142857142,13.099999999999996
13K691,216.0,234.0,239.0,216.0,9.0,10.0,10.0,9.0,24.0,23.4,23.9,24.0,9.1
14K050,540.0,320.0,278.0,275.0,31.0,17.0,13.0,13.0,17.419354838709676,18.823529411764707,21.384615384615383,21.153846153846153,11.800000000000002
14K071,761.0,620.0,232.0,222.0,41.0,32.0,13.0,12.0,18.5609756097561,19.375,17.846153846153847,18.5,9.8
14K084,414.0,219.0,293.0,220.0,15.0,9.0,12.0,9.0,27.6,24.333333333333332,24.416666666666668,24.444444444444443,9.799999999999999
14K126,388.0,388.0,668.0,364.0,17.0,17.0,29.0,16.0,22.823529411764707,22.823529411764707,23.03448275862069,22.75,13.800000000000004
14K157,363.0,186.0,186.0,186.0,17.0,9.0,9.0,9.0,21.352941176470587,20.666666666666668,20.666666666666668,20.666666666666668,12.400000000000004
14K318,1499.0,1325.0,1415.0,1008.0,53.0,45.0,47.0,30.0,28.28301886792453,29.444444444444443,30.106382978723403,33.6,14.900000000000004
14K577,530.0,506.0,506.0,506.0,15.0,14.0,14.0,16.0,35.333333333333336,36.142857142857146,36.142857142857146,31.625,15.5
14K582,456.0,258.0,258.0,258.0,21.0,12.0,12.0,12.0,21.714285714285715,21.5,21.5,21.5,10.8
14K586,165.0,170.0,225.0,170.0,7.0,7.0,9.0,7.0,23.571428571428573,24.285714285714285,25.0,24.285714285714285,10.700000000000001
14K614,189.0,147.0,147.0,159.0,8.0,6.0,6.0,7.0,23.625,24.5,24.5,22.714285714285715,14.2
15K051,1156.0,992.0,1125.0,1092.0,42.0,35.0,39.0,38.0,27.523809523809526,28.34285714285714,28.846153846153847,28.736842105263158,17.199999999999996
15K088,1423.0,1371.0,1872.0,1932.0,54.0,51.0,70.0,71.0,26.35185185185185,26.88235294117647,26.742857142857144,27.211267605633804,14.099999999999996
15K136,484.0,484.0,484.0,497.0,21.0,21.0,21.0,22.0,23.047619047619047,23.047619047619047,23.047619047619047,22.59090909090909,10.2
15K429,29.0,42.0,29.0,29.0,1.0,2.0,1.0,2.0,29.0,21.0,29.0,14.5,10.0
15K442,393.0,535.0,226.0,147.0,19.0,25.0,10.0,6.0,20.68421052631579,21.4,22.6,24.5,7.3999999999999995
15K443,563.0,563.0,590.0,563.0,18.0,18.0,19.0,18.0,31.27777777777778,31.27777777777778,31.05263157894737,31.27777777777778,15.599999999999998
15K447,521.0,521.0,521.0,521.0,18.0,18.0,18.0,18.0,28.944444444444443,28.944444444444443,28.944444444444443,28.944444444444443,11.0
15K448,255.0,255.0,255.0,255.0,9.0,9.0,9.0,9.0,28.333333333333332,28.333333333333332,28.333333333333332,28.333333333333332,10.799999999999999
15K464,203.0,192.0,192.0,192.0,9.0,8.0,8.0,8.0,22.555555555555557,24.0,24.0,24.0,12.599999999999996
15K497,275.0,320.0,261.0,262.0,13.0,15.0,11.0,12.0,21.153846153846153,21.333333333333332,23.727272727272727,21.833333333333332,14.0
15K821,621.0,503.0,504.0,504.0,26.0,22.0,22.0,19.0,23.884615384615383,22.863636363636363,22.90909090909091,26.526315789473685,11.700000000000001
15K839,454.0,449.0,236.0,,14.0,18.0,10.0,,32.42857142857143,24.944444444444443,23.6,,10.900000000000002
16K035,178.0,210.0,178.0,178.0,8.0,8.0,8.0,8.0,22.25,26.25,22.25,22.25,12.0
16K057,359.0,230.0,209.0,143.0,25.0,12.0,11.0,8.0,14.36,19.166666666666668,19.0,17.875,9.4
16K262,158.0,158.0,153.0,158.0,7.0,7.0,7.0,8.0,22.571428571428573,22.571428571428573,21.857142857142858,19.75,12.900000000000002
16K267,293.0,315.0,158.0,158.0,17.0,18.0,9.0,9.0,17.235294117647058,17.5,17.555555555555557,17.555555555555557,8.9
16K308,277.0,293.0,166.0,165.0,17.0,18.0,10.0,10.0,16.294117647058822,16.27777777777778,16.6,16.5,9.5
16K584,144.0,144.0,77.0,77.0,10.0,10.0,4.0,4.0,14.4,14.4,19.25,19.25,6.299999999999999
16K681,221.0,135.0,135.0,135.0,11.0,7.0,6.0,6.0,20.09090909090909,19.285714285714285,22.5,22.5,7.9
17K002,494.0,494.0,494.0,494.0,19.0,19.0,19.0,19.0,26.0,26.0,26.0,26.0,16.300000000000004
17K061,1351.0,880.0,859.0,674.0,59.0,38.0,38.0,27.0,22.89830508474576,23.157894736842106,22.605263157894736,24.962962962962962,20.300000000000008
17K138,239.0,239.0,278.0,239.0,10.0,10.0,12.0,10.0,23.9,23.9,23.166666666666668,23.9,12.5
17K181,259.0,258.0,260.0,259.0,9.0,10.0,10.0,9.0,28.77777777777778,25.8,26.0,28.77777777777778,14.0
17K189,426.0,413.0,449.0,367.0,16.0,16.0,18.0,14.0,26.625,25.8125,24.944444444444443,26.214285714285715,14.8
17K246,744.0,769.0,434.0,434.0,35.0,36.0,20.0,20.0,21.257142857142856,21.36111111111111,21.7,21.7,12.400000000000004
17K340,499.0,486.0,250.0,250.0,22.0,21.0,11.0,11.0,22.681818181818183,23.142857142857142,22.727272727272727,22.727272727272727,14.8
17K352,227.0,273.0,189.0,164.0,12.0,14.0,10.0,9.0,18.916666666666668,19.5,18.9,18.22222222222222,7.599999999999998
17K353,159.0,159.0,159.0,159.0,7.0,7.0,7.0,7.0,22.714285714285715,22.714285714285715,22.714285714285715,22.714285714285715,11.099999999999998
