DBN,DataName,SchoolName1,SchoolName2,NumSHSATTestTakers,NumSpecializedOffers,OffersPerStudent,PctBlackOrHispanic
24Q119,I.S. 119 THE GLENDALE,Intermediate School 119,The Glendale School,104,59,27%,32%
03M334,THE ANDERSON SCHOOL,,The Anderson School,75,58,76%,12%
25Q194,J.H.S. 194 WILLIAM CARR,Junior High School 194,The William Carr School,147,54,14%,33%
28Q190,J.H.S. 190 RUSSELL SAGE,Junior High School 190,The Russell Sage School,172,53,15%,35%
25Q237,I.S. 237,,Intermediate School 237,194,53,12%,23%
02M104,J.H.S. 104 SIMON BARUCH,Junior High School 104,The Simon Baruch School,260,53,14%,26%
28Q157,J.H.S. 157 STEPHEN A. HALSEY,Junior High School 157,The Stephen A. Halsey School,249,52,10%,33%
15K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,,The Math and Science Exploratory School,134,51,29%,31%
30Q122,P.S. 122 MAMIE FAY,Public School 122,The Mamie Fay School,74,49,65%,25%
20K686,BROOKLYN SCHOOL OF INQUIRY,,Brooklyn School of Inquiry,80,46,54%,10%
31R075,I.S. 075 FRANK D. PAULO,Intermediate School 75,The Frank D. Paulo School,153,46,11%,14%
24Q005,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,Intermediate School 5,The Walter Crowley Intermediate School,264,40,6%,53%
20K180,THE SEEALL ACADEMY,,The Seeall Academy,113,38,22%,28%
24Q125,I.S. 125 THOM J. MCCANN WOODSIDE,Intermediate School 125,The Thom J. McCann Woodside School,272,34,6%,56%
26Q172,IRWIN ALTMAN MIDDLE SCHOOL 172,Middle School 172,The Irwin Altman Middle School,189,33,10%,24%
21K281,I.S. 281 JOSEPH B CAVALLARO,Intermediate School 281,The Joseph B. Cavallaro School,171,30,7%,31%
25Q025,I.S. 025 ADRIEN BLOCK,Intermediate School 25,The Adrien Block School,147,29,9%,26%
10X118,J.H.S. 118 WILLIAM W. NILES,Junior High School 118,The William W. Niles School,270,29,7%,82%
04M012,TAG YOUNG SCHOLARS,,Tag Young Scholars,54,27,48%,36%
27Q323,SCHOLARS' ACADEMY,,Scholars' Academy,104,27,12%,37%
20K220,J.H.S. 220 JOHN J. PERSHING,Junior High School 220,The John J. Pershing School,181,27,5%,43%
30Q227,I.S. 227 LOUIS ARMSTRONG,Intermediate School 227,The Louis Armstrong School,206,27,6%,59%
14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,Intermediate School 318,The Eugenio Maria De Hostos School,222,27,6%,78%
30Q300,THE 30TH AVENUE SCHOOL (G&T CITYWIDE),,The 30th Avenue School (G&T Citywide),39,26,63%,15%
31R072,I.S. 072 ROCCO LAURIE,Intermediate School 72,The Rocco Laurie School,139,26,6%,31%
30Q230,I.S. 230,,Intermediate School 230,157,26,6%,60%
30Q141,I.S. 141 THE STEINWAY,Intermediate School 141,The Steinway School,170,26,7%,37%
20K227,J.H.S. 227 EDWARD B. SHALLOW,Junior High School 227,The Edward B. Shallow School,197,25,5%,27%
28Q217,J.H.S. 217 ROBERT A. VAN WYCK,Junior High School 217,The Robert A. Van Wyck School,175,24,4%,56%
05M362,COLUMBIA SECONDARY SCHOOL,,Columbia Secondary School,42,23,24%,64%
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,,Queens Gateway to Health Sciences Secondary School,61,23,28%,37%
01M184,P.S. 184M SHUANG WEN,Public School 184,The Shuang Wen School,67,23,26%,17%
27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES,Middle School 137,The America's School of Heroes,179,23,4%,39%
02M276,BATTERY PARK CITY SCHOOL,,Battery Park City School,56,22,26%,17%
31R007,I.S. 007 ELIAS BERNSTEIN,Intermediate School 7,The Elias Bernstein School,129,22,6%,10%
25Q294,BELL ACADEMY,,Bell Academy,69,21,15%,36%
27Q210,J.H.S. 210 ELIZABETH BLACKWELL,Junior High School 210,The Elizabeth Blackwell School,169,21,3%,65%
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,,East-West School of International Studies,70,20,19%,27%
20K229,P.S. 229 DYKER,Public School 229,The Dyker School,93,20,16%,13%
15K088,J.H.S. 088 PETER ROUGET,Junior High School 88,The Peter Rouget School,163,20,5%,68%
30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,,Albert Shanker School for Visual and Performing Arts,59,19,11%,62%
03M245,M.S. M245 THE COMPUTER SCHOOL,Middle School M245,The Computer School,70,19,14%,40%
15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,,New Voices School of Academic and Creative Arts,94,19,10%,40%
20K223,J.H.S. 223 THE MONTAUK,Junior High School 223,The Montauk School,142,19,6%,28%
02M126,P.S. 126 JACOB AUGUST RIIS,Public School 126,The Jacob August Riis School,66,18,16%,27%
27Q202,J.H.S. 202 ROBERT H. GODDARD,Junior High School 202,The Robert H. Goddard School,98,18,5%,54%
02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,Middle School 260,The Clinton School Writers and Artists,36,17,18%,16%
24Q102,P.S. 102 BAYVIEW,Public School 102,The Bayview School,67,17,12%,35%
25Q189,J.H.S. 189 DANIEL CARTER BEARD,Junior High School 189,The Daniel Carter Beard School,97,17,7%,30%
21K228,I.S. 228 DAVID A. BOODY,Intermediate School 228,The David A. Boody School,160,17,4%,32%
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,,School of the Future High School,46,15,15%,37%
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),Middle School/High School 141,The Riverdale/Kingsbridge Academy,75,15,6%,65%
03M243,M.S. 243 CENTER SCHOOL,Middle School 243,The Center School,38,14,25%,30%
24Q049,P.S. 049 DOROTHY BONAWIT KOLE,Public School 49,The Dorothy Bonawit Kole School,43,14,11%,24%
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,,Tompkins Square Middle School,66,14,11%,52%
31R027,I.S. 027 ANNING S. PRALL,Intermediate School 27,The Anning S. Prall School,77,14,4%,63%
25Q499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",,"The Queens College School for Math, Science and Technology",40,13,25%,34%
11X083,P.S. 083 DONALD HERTZ,Public School 83,The Donald Hertz School,77,13,6%,55%
03M862,MOTT HALL II,,Mott Hall II,64,12,10%,70%
30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,,Hunters Point Community Middle School,65,11,8%,58%
20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,Public School/Intermediate School 104,The Fort Hamilton School,87,11,6%,31%
31R024,I.S. 024 MYRA S. BARNES,Intermediate School 24,The Myra S. Barnes School,132,11,3%,16%
02M397,SPRUCE STREET SCHOOL,,Spruce Street School,36,10,18%,17%
06M278,PAULA HEDBAVNY SCHOOL,,Paula Hedbavny School,24,9,14%,81%
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",,"Young Women's Leadership School, Queens",29,9,12%,56%
24Q128,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",Public School 128,"The Lorraine Tuzzo, Juniper Valley Elementary School",46,9,8%,20%
22K206,P.S. 206 JOSEPH F LAMB,Public School 206,The Joseph F. Lamb School,51,9,8%,11%
31R048,P.S. 048 WILLIAM G. WILCOX,Public School 48,The William G. Wilcox School,70,9,8%,21%
19K292,J.H.S. 292 MARGARET S. DOUGLAS,Junior High School 292,The Margaret S. Douglas School,81,9,4%,78%
21K096,I.S. 096 SETH LOW,Intermediate School 96,The Seth Low School,114,9,3%,36%
29Q109,JEAN NUZZI INTERMEDIATE SCHOOL,,Jean Nuzzi Intermediate School,117,9,3%,59%
11X127,J.H.S. 127 THE CASTLE HILL,Junior High School 127,The Castle Hill School,133,9,3%,64%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,,Institute for Collaborative Education,21,8,11%,36%
84K707,BROOKLYN PROSPECT CHARTER SCHOOL,,Brooklyn Prospect Charter School,24,8,7%,48%
26Q266,P.S./I.S. 266,,Public School/Intermediate School 266,33,8,10%,43%
13K008,P.S. 008 ROBERT FULTON,Public School 8,The Robert Fulton School,42,8,13%,27%
11X194,P.S./M.S. 194,,Public School/Middle School 194,64,8,5%,56%
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,,Lower Manhattan Community Middle School,70,8,6%,28%
31R034,I.S. 034 TOTTENVILLE,Intermediate School 34,The Tottenville School,81,8,2%,12%
11X181,I.S. 181 PABLO CASALS,Intermediate School 181,The Pablo Casals School,124,8,3%,88%
25Q219,P.S. 219 PAUL KLAPPER,Public School 219,The Paul Klapper School,29,7,9%,36%
15K839,M.S. 839,,Middle School 839,36,7,7%,40%
20K163,P.S. 163 BATH BEACH,Public School 163,The Bath Beach School,39,7,8%,36%
84K758,BROOKLYN URBAN GARDEN CHARTER SCHOOL,,Brooklyn Urban Garden Charter School,43,7,7%,72%
21K226,P.S. 226 ALFRED DE B.MASON,Public School 226,The Alfred De B. Mason School,44,7,7%,31%
84K362,HELLENIC CLASSICAL CHARTER SCHOOL,,Hellenic Classical Charter School,46,7,14%,62%
02M131,M.S. 131,,Middle School 131,54,7,5%,17%
08X101,M.S. X101 EDWARD R. BYRNE,Middle School X101,The Edward R. Byrne School,66,7,5%,67%
31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,,Marsh Avenue School for Expeditionary Learning,70,7,4%,31%
18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,Public School 235,The Janice Marie Knight School,89,7,8%,95%
14K577,CONSELYEA PREPARATORY SCHOOL,,Conselyea Preparatory School,90,7,4%,61%
