Hidden Layers,Accuracy,Acc Lower CI,Acc Upper CI,F1,F1 Lower CI,F1 Upper CI
"(99, 99, 198, 148)",0.8056216216216215,0.6692488164907784,0.9419944267524647,0.5541289592760181,0.23574775549189408,0.8725101630601422
"(99, 99, 198, 198)",0.8056216216216215,0.6641981090360101,0.947045134207233,0.5536375661375662,0.2337935883983847,0.8734815438767477
"(99, 148)",0.8218018018018018,0.6837175641180723,0.9598860394855314,0.5714303959797318,0.2224017920896651,0.9204589998697985
"(99, 148, 24)",0.8273153153153153,0.7388067647020475,0.9158238659285831,0.5735201673721597,0.3012623708463303,0.8457779638979892
"(99, 148, 24, 24)",0.8164324324324325,0.6965559171705925,0.9363089476942724,0.571969696969697,0.27581779268201034,0.8681216012573837
"(99, 148, 24, 49)",0.8380180180180179,0.7066830239920885,0.9693530120439473,0.6318220531455825,0.32229609443604823,0.9413480118551167
"(99, 148, 24, 99)",0.8137657657657659,0.7077693074169068,0.9197622241146249,0.5663528138528138,0.30028495387024756,0.83242067383538
"(99, 148, 24, 148)",0.8299099099099099,0.698960073084393,0.9608597467354267,0.6006917211328976,0.2529238209478393,0.9484596213179559
"(99, 148, 24, 198)",0.8165045045045044,0.7171157372940707,0.9158932717149381,0.5806637806637808,0.31121524832327796,0.8501123130042836
"(99, 148, 49)",0.8326126126126125,0.702753055153092,0.962472170072133,0.6113844325609031,0.28211697408595315,0.9406518910358531
"(99, 148, 49, 24)",0.8192072072072072,0.7170633488624741,0.9213510655519402,0.5793902155192479,0.30571756771650027,0.8530628633219954
"(99, 148, 49, 49)",0.8245045045045046,0.697441001160743,0.9515680078482662,0.604037089037089,0.2959816687271975,0.9120925093469805
"(99, 148, 49, 99)",0.8137297297297297,0.6988546163885144,0.9286048430709449,0.5717765894236483,0.2987847165592301,0.8447684622880665
"(99, 148, 49, 148)",0.8218378378378379,0.7010657792075411,0.9426098964681348,0.6048300845264792,0.3321197810431703,0.8775403880097882
"(99, 148, 49, 198)",0.8137297297297298,0.701323926978991,0.9261355324804685,0.569516806722689,0.2829110482996494,0.8561225651457286
"(99, 148, 99)",0.8245405405405405,0.7030919156806821,0.9459891654003989,0.6018419489007725,0.30428428366377913,0.8993996141377658
"(99, 148, 99, 24)",0.8245765765765766,0.7042876980155799,0.9448654551375733,0.5873809523809523,0.27365181230414454,0.9011100924577602
"(99, 148, 99, 49)",0.8326486486486486,0.7164522664014641,0.9488450308958332,0.6024875445172507,0.2896123934848843,0.9153626955496171
"(99, 148, 99, 99)",0.8353513513513512,0.7308742513073647,0.9398284513953377,0.6254271708683474,0.36667026176550177,0.8841840799711931
"(99, 148, 99, 148)",0.8380900900900901,0.742635569194436,0.9335446109857441,0.6246520825608701,0.35862821811971163,0.8906759470020287
"(99, 148, 99, 198)",0.8137657657657658,0.714608409761767,0.9129231217697645,0.5678863961400114,0.297254674770378,0.8385181175096448
"(99, 148, 148)",0.8245405405405407,0.7090126194670922,0.9400684616139893,0.593444580944581,0.2881977170040309,0.8986914448851311
"(99, 148, 148, 24)",0.8245045045045046,0.6963415322053665,0.9526674768036427,0.6023440285204991,0.2969743367716901,0.907713720269308
"(99, 148, 148, 49)",0.838054054054054,0.7226233325773682,0.9534847755307397,0.6123339658444024,0.31150983186638703,0.9131580998224177
"(99, 148, 148, 99)",0.8245045045045046,0.682822733998121,0.9661862750108883,0.5931746684687861,0.2453491582478628,0.9410001786897093
"(99, 148, 148, 148)",0.8272432432432432,0.7161936965600004,0.9382927899264859,0.6151820728291317,0.3604094306400675,0.869954715018196
"(99, 148, 148, 198)",0.8138018018018016,0.7190064960435564,0.9085971075600469,0.5712652844231793,0.3320267534543876,0.8105038153919709
"(99, 148, 198)",0.8272432432432433,0.7124658823298982,0.9420206041565884,0.5931897998691168,0.30556004526075103,0.8808195544774826
"(99, 148, 198, 24)",0.8299819819819818,0.7279128758898833,0.9320510880740803,0.6096050771405741,0.36859754487847374,0.8506126094026745
"(99, 148, 198, 49)",0.8272432432432433,0.7213680928428043,0.9331183936436822,0.6038836569110403,0.33647093010540013,0.8712963837166805
"(99, 148, 198, 99)",0.811027027027027,0.6918171683988232,0.9302368856552308,0.5711336267117201,0.2716898944587884,0.8705773589646517
"(99, 148, 198, 148)",0.8164684684684683,0.7050746260633829,0.9278623108735538,0.5729530600118835,0.2945810077029108,0.8513251123208563
"(99, 148, 198, 198)",0.8245765765765766,0.7178870042027623,0.9312661489503908,0.5998809523809524,0.30803746227701095,0.8917244424848938
"(99, 198)",0.8245405405405405,0.6985555302155468,0.9505255508655341,0.5842760180995474,0.25618732220344753,0.9123647139956473
"(99, 198, 24)",0.8272432432432432,0.7136948879417561,0.9407915985447303,0.604555692055692,0.3175839891510601,0.891527394960324
"(99, 198, 24, 24)",0.8191711711711711,0.7116467123452465,0.9266956299970958,0.5649663176797901,0.25157122246211766,0.8783614128974626
"(99, 198, 24, 49)",0.821873873873874,0.7213896438901798,0.9223581038575682,0.5840118615031228,0.2941890837779891,0.8738346392282565
"(99, 198, 24, 99)",0.8326846846846847,0.7214320020020889,0.9439373673672805,0.6117111078401402,0.32710055296375995,0.8963216627165204
"(99, 198, 24, 148)",0.8218378378378379,0.6976294206291863,0.9460462550464895,0.5881652661064425,0.26498887165593976,0.9113416605569452
"(99, 198, 24, 198)",0.8326126126126125,0.7239274705484329,0.9412977546767922,0.6001024065540195,0.3000780519116777,0.9001267611963613
"(99, 198, 49)",0.8191711711711711,0.6947119430776246,0.9436303992647176,0.5834151863462209,0.2567381219286378,0.9100922507638041
"(99, 198, 49, 24)",0.8056936936936937,0.6834107541706307,0.9279766332167567,0.5363494838494838,0.21771484644835504,0.8549841212506125
"(99, 198, 49, 49)",0.8218378378378377,0.6739127101672905,0.9697629655083849,0.5892362539421363,0.20719255084346033,0.9712799570408123
"(99, 198, 49, 99)",0.8191711711711711,0.6859983205216574,0.9523440218206848,0.5969379906222011,0.24600023257779718,0.947875748666605
